PDB_Name,PDB_ID,Max_PDB_TM,RMSD,TM_Score,Length
length_310_2_34,4n2y.cif.gz_A,0.7398,2.411110970237075,0.8749032999434029,310
length_305_6_4,7uek.cif.gz_A,0.7182,2.549644574428055,0.8566278536667488,305
length_325_4_79,3ds8.cif.gz_A,0.6434,1.7128484092646283,0.9220011975312122,325
length_235_9_49,4ay7.cif.gz_A,0.7036,3.218858553165827,0.8266335593339958,235
length_210_1_19,3q15.cif.gz_C,0.7762,1.2348506734796507,0.9414242993432425,210
length_110_5_35,6cw0.cif.gz_B,0.931,0.5766704813177992,0.9718784443881524,110
length_455_7_81,4clm.cif.gz_A,0.727,4.546172837021428,0.7805069470491968,455
length_360_2_91,6e9r.cif.gz_B,0.7483,1.114622462107896,0.9684627121800417,360
length_340_5_79,7dgu.cif.gz_A,0.5804,6.375869093675998,0.6582930270389246,340
length_455_1_35,2m0m.cif.gz_MODEL_1_A,0.4705,15.49386618540209,0.5154454503583252,455
length_295_9_3,2b49.cif.gz_A,0.749,1.7667181401264365,0.9159030494763414,295
length_185_3_22,7ji4.cif.gz_A,0.7004,0.868781049287348,0.9583233045906006,185
length_460_2_59,1pv3.cif.gz_MODEL_4_A,0.6913,13.747357183645509,0.5727021255217722,460
length_215_1_97,7b0u.cif.gz_F,0.6951,1.3383572366966805,0.9316238392924926,215
length_205_5_37,6wyo.cif.gz_B,0.6392,1.2836890128619447,0.9343401182768504,205
length_265_3_64,4q66.cif.gz_F,0.6378,4.139446664514392,0.7628901508460719,265
length_185_2_19,2r32.cif.gz_A,0.6895,5.341069115984411,0.6183914660557963,185
length_190_0_83,7zq0.cif.gz_A,0.7915,2.4117620154895323,0.833639222223018,190
length_130_5_52,4tt6.cif.gz_A,0.9907,0.4417637381114954,0.9855751213088524,130
length_235_7_43,3lyu.cif.gz_A,0.7203,7.609653209665679,0.6991093331453302,235
length_405_8_75,3qua.cif.gz_B,0.6928,6.479917759913915,0.7056726180291044,405
length_355_6_20,7kx6.cif.gz_A,0.8737,2.03627131995258,0.90850639988598,355
length_350_9_67,3mvm.cif.gz_B,0.9424,0.9799035924649344,0.9716958687728764,350
length_200_8_26,4jre.cif.gz_D,0.7154,0.8160848384067737,0.969942701273249,200
length_145_5_79,6zvr.cif.gz_B,0.7996,0.5749851865708562,0.9785030371909074,145
length_370_1_13,7uek.cif.gz_A,0.7377,2.483197411982001,0.8945208650040083,370
length_145_9_70,5b85.cif.gz_A,0.9113,0.8946896813635725,0.95247328509456,145
length_210_0_25,4uc3.cif.gz_A,0.4982,3.1576481271140344,0.7931954946537878,210
length_240_0_84,8dml.cif.gz_C,0.6582,6.096400341276991,0.695626859720686,240
length_200_0_56,7mmg.cif.gz_A,0.6168,7.042067150434932,0.6041700187753213,200
length_210_7_36,2wdv.cif.gz_C,0.6359,1.1031597115271483,0.9499933157451372,210
length_340_6_22,1so5.cif.gz_A,0.71,3.624606276668894,0.7947151475567577,340
length_175_2_48,4ycs.cif.gz_E,0.7001,1.0840238625283276,0.9390723594707832,175
length_500_5_40,7jvr.cif.gz_R,0.5587,10.571256493812797,0.5384132749136774,500
length_475_9_70,6xns.cif.gz_D,0.6071,14.651639683354071,0.5134645605808542,475
length_165_5_82,7pqa.cif.gz_BBB,0.5715,1.8726270179231888,0.8772163643214941,165
length_245_7_28,7uek.cif.gz_A,0.7709,1.454746478595597,0.927594819379265,245
length_285_6_51,2v1y.cif.gz_B,0.6887,3.446943391370364,0.7759698520322379,285
length_205_2_23,8acq.cif.gz_A,0.479,16.898746464827205,0.5412034822037418,205
length_425_8_6,6b4c.cif.gz_J,0.638,10.088024845930097,0.6328217516968465,425
length_200_7_73,8t8b.cif.gz_2y,0.5706,8.61265947899032,0.5537724727850968,200
length_310_6_18,5cdy.cif.gz_A,0.6461,2.561181427101569,0.8615589884819953,310
length_425_5_43,1kjn.cif.gz_B,0.6305,4.147219334723308,0.804028819434868,425
length_500_7_43,3k6b.cif.gz_A,0.6391,11.502275754192793,0.5215470256906415,500
length_155_4_36,6j9e.cif.gz_J,0.6224,1.4549231005843684,0.9037214954511644,155
length_420_0_41,5m42.cif.gz_A,0.6907,2.88687947554633,0.8687458986839851,420
length_485_9_17,6e9x.cif.gz_C,0.6289,18.54039670597236,0.5104679087857592,485
length_220_8_1,8fin.cif.gz_B,0.7095,1.4479149130858957,0.9205340109626784,220
length_280_0_93,7mnd.cif.gz_A,0.8739,1.8352624952180565,0.904506273217606,280
length_265_1_11,7b03.cif.gz_A,0.8448,1.0690513250210762,0.962095561753357,265
length_280_8_38,6s73.cif.gz_C,0.8679,1.1701230986623912,0.955587653280503,280
length_105_2_55,3obf.cif.gz_B,0.5305,0.7655375725275176,0.9489556985694024,105
length_460_5_100,7rnf.cif.gz_A,0.5925,14.77869994066948,0.5825382422437518,460
length_425_7_52,7xgf.cif.gz_D,0.5534,11.8806459655942,0.5400703382460762,425
length_440_9_63,3zx6.cif.gz_A,0.7885,11.674909128356388,0.5051847431173023,440
length_120_0_47,5noc.cif.gz_MODEL_11_B,0.6405,1.7046482836350658,0.8422244844775879,120
length_495_0_97,5k7v.cif.gz_A,0.54,12.378481873682611,0.5186704187094734,495
length_425_2_73,1ho1.cif.gz_D,0.7407,3.3261353506185656,0.8362911487859457,425
length_360_4_54,1xbz.cif.gz_A,0.7492,1.8342432542372928,0.9202173204304418,360
length_175_7_84,1h9c.cif.gz_MODEL_3_A,0.6737,1.9954326956568875,0.8683031516596709,175
length_295_8_2,2iw8.cif.gz_C,0.9006,1.199337267771845,0.9626908053819664,295
length_310_8_52,6wvs.cif.gz_A,0.8381,3.0177803719740326,0.8611950740352806,310
length_105_1_38,7vwt.cif.gz_A,0.5639,0.657397359946854,0.9598599691500264,105
length_485_8_39,1zit.cif.gz_MODEL_20_A,0.5954,10.237126839070475,0.5375049290225813,485
length_300_7_100,4xs5.cif.gz_D,0.6316,5.156930697022556,0.7761578202979048,300
length_320_4_86,6x8n.cif.gz_B,0.7396,1.737357781857694,0.9161110171529924,320
length_270_1_88,7b0u.cif.gz_F,0.7196,3.139399110547583,0.8153630512968845,270
length_140_6_13,3cwz.cif.gz_B,0.5025,5.478680521505773,0.5820969845105601,140
length_235_8_51,6e9x.cif.gz_C,0.7671,1.016103736112697,0.960553001893353,235
length_210_5_1,2l6j.cif.gz_MODEL_3_A,0.7505,0.9559855052905152,0.964086531582371,210
length_310_3_79,3gxh.cif.gz_B,0.6689,2.2023381872045302,0.8868392528634754,310
length_110_2_61,6mg6.cif.gz_C,0.7117,0.8670219533055035,0.936347295135648,110
length_345_1_36,7ung.cif.gz_B6,0.7167,1.2565915153322251,0.9584816119763756,345
length_185_1_3,2qn6.cif.gz_B,0.5915,7.259607654575696,0.5985789932204436,185
length_370_4_9,2wjz.cif.gz_E,0.7019,2.5035783842719503,0.9095096667732854,370
length_340_0_59,7m5t.cif.gz_MODEL_5_A,0.7183,6.882118075822674,0.6697974360566028,340
length_390_6_40,2ysw.cif.gz_A,0.6889,4.261369398853039,0.8131940760362308,390
length_270_9_14,1mvl.cif.gz_A,0.6853,2.4131875359147283,0.8569534046650114,270
length_150_3_52,4wxa.cif.gz_C,0.7263,0.9742525967871564,0.9407372335954866,150
length_390_3_99,5los.cif.gz_A,0.6219,7.300193478159733,0.683634994099067,390
length_250_3_64,3qh2.cif.gz_A,0.7429,2.3104531448358587,0.8760657520203197,250
length_360_3_53,4rw0.cif.gz_B,0.6104,3.807611366564528,0.7864916346262588,360
length_500_8_45,2o2g.cif.gz_A,0.5802,13.60484666354706,0.5386527484968641,500
length_355_9_42,4aln.cif.gz_A,0.6187,2.7050447674244493,0.870425385154645,355
length_395_8_91,2rbg.cif.gz_B,0.6227,4.000577458725885,0.8214759308726165,395
length_180_8_9,5fq7.cif.gz_H,0.4803,2.1989924444273083,0.8478520703083322,180
length_270_8_85,4dzr.cif.gz_A,0.6553,2.705365163132662,0.8532887692121306,270
length_175_6_30,1rlb.cif.gz_F,0.922,1.041529210631745,0.9435386341176364,175
length_205_7_35,6vgb.cif.gz_MODEL_15_A,0.8071,1.3534272476767666,0.922931281880692,205
length_335_3_5,3c5w.cif.gz_A,0.74,1.27566159919644,0.9512387769070194,335
length_315_5_99,5cwj.cif.gz_A,0.7458,1.3542166483686966,0.9516591592476716,315
length_335_4_90,6jhk.cif.gz_E,0.6515,5.578648083579043,0.7460843073122821,335
length_225_6_91,3qwe.cif.gz_A,0.6823,1.1001617393543368,0.955549743089136,225
length_100_2_46,3k2j.cif.gz_B,0.8747,0.8885607189976333,0.934694725892846,100
length_420_7_41,3kip.cif.gz_I,0.7192,7.192701417213906,0.7317583890771531,420
length_250_1_72,1los.cif.gz_C,0.5933,4.733859262219945,0.683165025692797,250
length_440_0_84,7wkq.cif.gz_B,0.638,10.812048722925502,0.5866143531272087,440
length_470_6_12,5j5k.cif.gz_A,0.6812,8.367865278895332,0.7174769738391287,470
length_160_1_1,8et8.cif.gz_A,0.5928,0.6867624570492363,0.974904576785682,160
length_400_7_74,2kzh.cif.gz_MODEL_17_A,0.6747,7.360227719370235,0.6554035477144318,400
length_230_7_21,6gaq.cif.gz_B,0.5939,5.119974071422612,0.6655365959442806,230
length_400_6_7,7sqc.cif.gz_1W,0.6855,4.578592902250328,0.7380961266335676,400
length_225_0_37,3lrx.cif.gz_A,0.7564,0.8222254630753562,0.9729937426468508,225
length_215_5_61,3aqf.cif.gz_A,0.6667,3.157643046015134,0.8001844727761439,215
length_290_3_5,6cpe.cif.gz_A,0.9191,1.1990780607138594,0.9568459604469524,290
length_255_9_42,6dex.cif.gz_A,0.7042,1.9619121210784447,0.8953606556537036,255
length_325_3_3,1x04.cif.gz_A,0.6845,1.7031574596979877,0.924230890878045,325
length_195_0_2,7aht.cif.gz_A,0.7186,6.534795222413394,0.5746202938536826,195
length_425_0_40,6e9r.cif.gz_B,0.7761,1.2379414413357444,0.9632434816146788,425
length_150_1_43,7wa9.cif.gz_A,0.7243,1.2341885795459056,0.9222084416695016,150
length_220_2_100,4dyl.cif.gz_A,0.7185,1.0725417928166077,0.9536243882124424,220
length_160_6_75,4cu5.cif.gz_D,0.6604,1.5867966125554391,0.9096030011921334,160
length_365_8_80,2mr6.cif.gz_MODEL_19_A,0.6776,2.182054505642458,0.9005196621037033,365
length_460_4_65,7n6g.cif.gz_1T,0.6501,2.5917309075274733,0.8933976431995566,460
length_315_7_41,7u5y.cif.gz_D,0.7668,2.001406743392315,0.9001581204733169,315
length_305_5_55,6k1w.cif.gz_A,0.6202,7.06405982065335,0.6322355392408583,305
length_335_6_48,3lrx.cif.gz_C,0.6908,2.31052552123026,0.8867988584684571,335
length_185_6_74,5sxk.cif.gz_B,0.5646,0.9683833133305404,0.9573019694453182,185
length_275_6_22,4xg8.cif.gz_A,0.9251,0.8541160133116653,0.9720706362979852,275
length_315_2_35,2h6r.cif.gz_A,0.7607,2.0166332327983256,0.9029921037168556,315
length_395_5_78,1f4m.cif.gz_C,0.8556,12.536773489906077,0.530728163975561,395
length_270_3_75,3sla.cif.gz_E,0.6437,1.0108595110414866,0.9621289830262912,270
length_265_8_38,3f43.cif.gz_A,0.6633,0.7989410837668245,0.9769326238009588,265
length_300_5_89,3srv.cif.gz_A,0.8581,1.5521058015406917,0.9311149823472378,300
length_500_0_20,6m3q.cif.gz_F,0.7057,8.663180565494251,0.5532235526699647,500
length_430_0_17,1aep.cif.gz_A,0.5801,5.855451965930006,0.6910590495738533,430
length_245_0_19,5q0m.cif.gz_A,0.7959,0.846124468525583,0.9733025929328116,245
length_350_4_5,3fwz.cif.gz_B,0.6331,5.078109894433989,0.7118105069214653,350
length_295_3_74,1qu7.cif.gz_B,0.6786,9.391115511598327,0.5499503270399004,295
length_195_1_13,8fin.cif.gz_B,0.7814,0.8239073185262049,0.9698625722971664,195
length_325_0_14,3o0g.cif.gz_B,0.8972,1.1697698449448155,0.9582036824351188,325
length_490_2_49,6e7e.cif.gz_A,0.6752,11.669638570046883,0.5402569258228574,490
length_310_7_8,6rg0.cif.gz_D,0.7646,1.8093929001423184,0.9148491739238228,310
length_420_5_26,7zp9.cif.gz_L,0.7687,8.413121081789717,0.6482193204699254,420
length_320_5_11,3qll.cif.gz_A,0.7548,3.2906961451662995,0.8301764572625829,320
length_480_9_20,3lrx.cif.gz_C,0.7291,11.551821444303194,0.5708146858845856,480
length_400_4_82,4tl3.cif.gz_A,0.4515,13.832279460609202,0.5272334357035625,400
length_305_8_67,4ckw.cif.gz_A,0.7573,3.128145098776167,0.8575685603004121,305
length_130_1_87,6vof.cif.gz_R,0.7181,0.7613789051014128,0.9629034364587694,130
length_360_7_80,4jut.cif.gz_G,0.5869,9.891641506727227,0.6038224289789623,360
length_225_8_55,3msz.cif.gz_A,0.6379,3.1420856015566248,0.807501676685481,225
length_320_2_26,7sge.cif.gz_B,0.638,1.5095254151698654,0.9379303100418096,320
length_360_1_66,4luj.cif.gz_B,0.7266,1.6908977431967749,0.9328761583620232,360
length_320_7_52,4n2y.cif.gz_A,0.7677,2.1896347555187177,0.8952430257054399,320
length_100_6_87,6ivl.cif.gz_C,0.7123,0.8487488781720767,0.9333761860477816,100
length_290_4_5,3i9w.cif.gz_A,0.5072,2.650195783930982,0.8433867939074413,290
length_330_4_85,6oql.cif.gz_A,0.8317,1.530005009867716,0.9383672359500226,330
length_360_6_11,3h36.cif.gz_A,0.7154,4.37847268245952,0.7680426568386216,360
length_210_6_59,4m88.cif.gz_A,0.6655,1.205010260962539,0.939325914754961,210
length_175_9_30,7zs9.cif.gz_4,0.7068,1.56494361278102,0.8981072760474037,175
length_470_4_32,5cwc.cif.gz_A,0.5508,13.584605589877738,0.5680771102188297,470
length_370_5_66,3l6e.cif.gz_B,0.6855,3.00916718069088,0.8419953604152787,370
length_365_1_2,2pq5.cif.gz_B,0.538,9.675072047810373,0.5576656951042581,365
length_310_9_4,4zk2.cif.gz_A,0.5981,3.000327964348831,0.836883538112059,310
length_285_7_66,1pgv.cif.gz_A,0.5878,8.110346968253683,0.6828045926884226,285
length_185_5_54,6lo8.cif.gz_A,0.6739,3.635211992743978,0.7243061177433769,185
length_115_2_1,2z1c.cif.gz_C,0.5606,4.491367031937799,0.6266889533906236,115
length_345_3_100,7uek.cif.gz_A,0.7712,2.411645618494309,0.8806023241530112,345
length_170_7_13,1nxo.cif.gz_A,0.7638,1.191979162977727,0.9347182632109317,170
length_120_5_87,1mb0.cif.gz_A,0.8842,0.6850521832842617,0.9651192417245232,120
length_255_2_47,1di0.cif.gz_C,0.6491,1.9705039485476472,0.8932808612332878,255
length_325_2_8,3jr2.cif.gz_A,0.6996,2.6798262261419588,0.8616677565313622,325
length_405_4_41,8e0l.cif.gz_C,0.5867,11.122704404131946,0.5514185460684862,405
length_110_4_61,7qx9.cif.gz_A,0.8573,0.6876118941351502,0.9598034762069348,110
length_380_6_94,1mzh.cif.gz_B,0.6753,6.628431055423728,0.698710304573858,380
length_480_0_10,1xbz.cif.gz_B,0.6735,12.037275927411896,0.5555740107736583,480
length_410_0_68,5x4b.cif.gz_B,0.6488,19.04855203491499,0.5271050824511362,410
length_465_3_84,8fbj.cif.gz_A,0.5491,10.625917757410877,0.5000214660250817,465
length_125_3_57,4flp.cif.gz_A,0.9816,0.7795650834163139,0.953279148306049,125
length_235_3_24,6dhz.cif.gz_C,0.681,7.14111483701118,0.636377624452683,235
length_160_5_47,6vg7.cif.gz_MODEL_15_A,0.7362,0.9144296754260888,0.9584336513920844,160
length_110_6_25,6ynw.cif.gz_P,0.8243,0.6933531188456633,0.9583177670963882,110
length_180_9_93,8ju8.cif.gz_A,0.7423,1.0521775330440972,0.9474969693306272,180
length_270_5_99,4b94.cif.gz_C,0.6346,2.1049907970744908,0.8814302153149622,270
length_250_0_1,1yad.cif.gz_C,0.6983,1.913763330069256,0.8999369769560835,250
length_180_1_80,4ckw.cif.gz_C,0.7179,0.966557539601226,0.9523451721796972,180
length_135_9_57,4ncq.cif.gz_B,0.7613,1.281651172019814,0.9127578284620717,135
length_495_8_88,6vq7.cif.gz_g,0.7073,9.81839974368462,0.553488724520822,495
length_245_1_85,3u80.cif.gz_B,0.7534,1.3417471657996,0.9362849814264932,245
length_315_6_25,7ji4.cif.gz_A,0.6577,5.318887653760441,0.7133710552474951,315
length_350_5_13,4l85.cif.gz_C,0.696,10.307106871504844,0.6113815567785466,350
length_300_1_33,4jgg.cif.gz_B,0.6499,2.155936840672589,0.885971585793123,300
length_105_9_27,3uw9.cif.gz_A,0.9492,0.5722043937947056,0.9727094005041672,105
length_495_2_67,6w2w.cif.gz_A,0.5433,15.481318867375265,0.5451530320839731,495
length_445_7_14,5cwl.cif.gz_B,0.768,8.569720472403215,0.5638560048490345,445
length_245_8_55,6yqx.cif.gz_A,0.7869,1.379445492443872,0.9331808350391632,245
length_265_0_21,3m2k.cif.gz_A,0.8469,1.994709592667688,0.8978344906168293,265
length_305_4_63,7uek.cif.gz_A,0.7941,0.8444567737665779,0.9769314357331392,305
length_365_5_15,1nsj.cif.gz_A,0.7559,5.733025628889045,0.7479017553907797,365
length_290_8_89,7ar7.cif.gz_K,0.7166,9.191712879895746,0.6018204868682508,290
length_210_9_6,3omu.cif.gz_B,0.8977,1.340983171800059,0.9307505155714316,210
length_385_2_71,3lp5.cif.gz_A,0.6489,5.49683671447897,0.7364345934934627,385
length_105_4_71,4f9z.cif.gz_E,0.7854,0.7119208826614202,0.9551139826318192,105
length_430_6_67,7n6g.cif.gz_3I,0.6083,12.551286727913023,0.5474642771224576,430
length_165_6_38,2w2u.cif.gz_A,0.6293,1.1101552090036362,0.9370766905566232,165
length_360_8_32,5cwc.cif.gz_A,0.5395,9.223564931613796,0.6027458754172584,360
length_105_8_87,7vu4.cif.gz_A,0.7977,0.6860683534505411,0.9591703975579466,105
length_455_2_14,7u8r.cif.gz_h,0.6713,9.527103413031888,0.5643595488150877,455
length_380_7_21,7s2m.cif.gz_A,0.649,3.016066311028569,0.8488868385644857,380
length_300_0_39,1kjn.cif.gz_B,0.7524,11.03377025448586,0.6028400330820651,300
length_330_3_71,5e19.cif.gz_B,0.5106,4.26601975193163,0.8044035242431087,330
length_260_4_84,1vhb.cif.gz_A,0.5915,5.611311258009972,0.6755307905092398,260
length_415_6_1,6zvt.cif.gz_A,0.8717,2.301560389196348,0.8976554986387085,415
length_160_3_68,5in4.cif.gz_B,0.7454,1.217656956685092,0.9200887038148784,160
length_195_2_10,3s29.cif.gz_A,0.656,1.567213675139614,0.9159659158728818,195
length_270_0_76,1x0i.cif.gz_MODEL_2_1,0.7783,0.9605332073099716,0.9702445202313816,270
length_220_1_77,1wjg.cif.gz_A,0.6752,0.7941760792817423,0.9737811174067136,220
length_240_7_24,1di0.cif.gz_C,0.6103,0.919174268864384,0.9659454319157714,240
length_165_8_98,6k8v.cif.gz_A,0.7848,0.7826958066864942,0.9625040855084166,165
length_395_4_78,2obx.cif.gz_G,0.6598,7.570002904936148,0.6238366599415027,395
length_150_8_61,7oh2.cif.gz_B,0.5979,2.2444815201463704,0.8283808666704681,150
length_485_5_63,3vcr.cif.gz_B,0.611,13.753574710305006,0.5436959750111088,485
length_120_1_13,2lgn.cif.gz_MODEL_1_A,0.6034,2.52985265282356,0.8249563921202028,120
length_255_6_86,6e9x.cif.gz_C,0.7582,1.0118397649422757,0.9657598692084274,255
length_290_5_32,4d3q.cif.gz_B,0.8015,2.9983704436339265,0.8469987613321766,290
length_150_0_67,1zl8.cif.gz_MODEL_1_B,0.579,1.0589974584008377,0.9365894602811984,150
length_105_3_6,1t98.cif.gz_B,0.7094,0.5747367250832468,0.968658393263557,105
length_490_5_3,7e16.cif.gz_B,0.4756,15.354961484598906,0.5238383710223288,490
length_180_0_67,1cts.cif.gz_A,0.5179,1.165865374230619,0.9384772666539828,180
length_355_2_36,7uek.cif.gz_A,0.8038,1.986519829937733,0.9076135165897096,355
length_265_2_54,1so5.cif.gz_A,0.7898,1.4703669745390675,0.9301736764088044,265
length_110_9_37,6ffg.cif.gz_A,0.9888,0.4370017313262286,0.9837195748794064,110
length_205_6_56,4ycs.cif.gz_E,0.6676,6.7955057847084746,0.7122158889746107,205
length_165_4_29,4hwc.cif.gz_A,0.7102,0.6689640380285788,0.977312426748998,165
length_305_2_59,2ftk.cif.gz_H,0.7603,1.2098149644344574,0.9551755655568668,305
length_330_8_48,5gaj.cif.gz_MODEL_17_A,0.6231,7.607877291037449,0.640689737793624,330
length_165_2_37,6su7.cif.gz_C,0.7446,0.8943085222515342,0.9588073951714324,165
length_305_7_78,7uek.cif.gz_A,0.759,2.473974999666092,0.8799510902102091,305
length_350_3_29,2hyz.cif.gz_A,0.7805,2.574765575654074,0.8957063434495777,350
length_160_7_67,2c08.cif.gz_A,0.6988,1.320874111257856,0.9159039211847932,160
length_150_4_85,1u80.cif.gz_C,0.6455,1.6500524237648273,0.8751454852230915,150
length_130_4_1,1oub.cif.gz_A,0.9918,0.4383598463287597,0.98678326911738,130
length_190_6_96,3k9i.cif.gz_A,0.5748,0.9100430272264004,0.9630500585823548,190
length_260_0_21,6c40.cif.gz_D,0.7475,3.028232786141152,0.8180427647430922,260
length_420_3_11,5h78.cif.gz_B,0.6912,3.399810081575011,0.8775228253057284,420
length_460_0_1,2ftu.cif.gz_MODEL_15_A,0.6713,10.70978260498077,0.5794704636163024,460
length_280_5_22,6rm3.cif.gz_LCC,0.5574,6.26311116329128,0.6258382503150138,280
length_355_8_56,3nbm.cif.gz_A,0.6808,2.0795711452257155,0.9078199156460478,355
length_175_8_12,4dzr.cif.gz_A,0.6465,1.984895711978789,0.9102792220325596,175
length_350_2_30,1kjn.cif.gz_B,0.7313,0.9548853705873026,0.9761486871164498,350
length_325_6_2,7uek.cif.gz_A,0.6702,4.172064189367198,0.8061692065670514,325
length_155_3_7,3kav.cif.gz_A,0.8572,0.6914238448647295,0.9727801795637596,155
length_295_4_3,3zmq.cif.gz_A,0.9681,0.8522814415192184,0.9773647395936116,295
length_420_8_1,7sge.cif.gz_B,0.624,7.903824898000795,0.6580583578452226,420
length_395_7_25,3pby.cif.gz_B,0.6926,2.786389863480625,0.8927542508359864,395
length_460_6_38,8e0m.cif.gz_G,0.5991,4.550766420380046,0.7640143719914229,460
length_435_4_77,6yqy.cif.gz_A,0.7242,3.5071454310355508,0.8369714984329025,435
length_335_8_5,3fyq.cif.gz_A,0.5711,12.950194340001362,0.5241497274581935,335
length_490_1_85,2n8w.cif.gz_MODEL_6_A,0.6845,11.186356793813268,0.5969128317512248,490
length_320_9_14,1ub3.cif.gz_B,0.7762,3.0452659896593737,0.8432844700716811,320
length_240_8_6,5gqs.cif.gz_MODEL_3_A,0.7061,5.093286175212496,0.7540479313970356,240
length_215_6_64,1u0s.cif.gz_Y,0.7611,1.978654618566935,0.905402903231383,215
length_190_3_95,3lyu.cif.gz_A,0.7144,1.1439609801823385,0.9391669447474326,190
length_310_5_95,2n8i.cif.gz_MODEL_11_A,0.6135,6.655601930117446,0.760843384784936,310
length_290_7_46,2x7f.cif.gz_D,0.9123,1.0404446832477576,0.9639561719357542,290
length_425_3_45,7p76.cif.gz_L,0.6813,3.4701646057675264,0.8416736085477328,425
length_455_0_72,2agk.cif.gz_A,0.5846,9.9839339163141,0.6586040479813086,455
length_265_7_10,1kjn.cif.gz_B,0.6419,1.19082915098323,0.9500683116316794,265
length_115_5_80,4qc1.cif.gz_B,0.9708,0.9558765155011988,0.935204554106084,115
length_400_9_56,5cwm.cif.gz_A,0.5744,6.42596117978578,0.7418087167142609,400
length_300_3_89,2eis.cif.gz_B,0.569,10.045817713072866,0.5390530258371579,300
length_120_3_32,5or8.cif.gz_A,0.8233,1.400841457123447,0.8856537532905931,120
length_480_7_34,4v6b.cif.gz_BI,0.5743,13.944876539089158,0.5522327587468507,480
length_140_7_37,5cwl.cif.gz_B,0.8339,0.7849939242096204,0.9615416424023572,140
length_135_8_87,6vg7.cif.gz_MODEL_15_A,0.7954,1.2695751331108034,0.9444477852820024,135
length_435_1_11,6xr2.cif.gz_F,0.705,7.313444467938976,0.700634436056634,435
length_290_2_8,5aad.cif.gz_A,0.9223,1.142561259978684,0.9603986911027456,290
length_395_2_16,3lrx.cif.gz_A,0.6896,4.978368984631141,0.7340837986409756,395
length_225_3_72,4nqi.cif.gz_D,0.7545,0.9112255585623104,0.9665270066231784,225
length_190_5_33,7b0u.cif.gz_F,0.713,1.2732253642459397,0.9287466364050468,190
length_255_0_17,1rh9.cif.gz_A,0.7386,5.4736687607208125,0.6842439221837684,255
length_285_3_85,3psk.cif.gz_C,0.6279,5.543317791607356,0.6803641740656909,285
length_125_2_78,5s9p.cif.gz_A,0.987,0.6569445169053757,0.9681726087018802,125
length_295_5_45,3n59.cif.gz_X,0.6556,3.018237270468516,0.8576406325887043,295
length_210_4_67,7t8n.cif.gz_BBB,0.7734,1.3378419663675505,0.9317298208240092,210
length_435_0_49,2egz.cif.gz_A,0.713,2.6909924478276914,0.88860504430188,435
length_450_8_33,6z10.cif.gz_A,0.5532,3.857289125059944,0.8288078504929263,450
length_240_5_99,1wu0.cif.gz_MODEL_5_A,0.8068,8.664204702310712,0.5808910460470981,240
length_130_8_38,2oax.cif.gz_B,0.522,3.475770474289764,0.6906109214584852,130
