PDB_Name,PDB_ID,Max_PDB_TM
length_185_3_22.pdb,3rag.cif.gz_A,0.6619
length_460_2_59.pdb,5gpj.cif.gz_A,0.5132
length_215_1_97.pdb,4lx4.cif.gz_D,0.6047
length_205_5_37.pdb,6wyo.cif.gz_B,0.6392
length_265_3_64.pdb,3zwt.cif.gz_A,0.5693
length_185_2_19.pdb,5g56.cif.gz_A,0.4014
length_190_0_83.pdb,7zq0.cif.gz_A,0.7879
length_130_5_52.pdb,4tt6.cif.gz_A,0.9907
length_235_7_43.pdb,3u4c.cif.gz_A,0.591
length_405_8_75.pdb,7zb1.cif.gz_D,0.4306
length_355_6_20.pdb,8h59.cif.gz_A,0.8179
length_350_9_67.pdb,7z9t.cif.gz_AAA,0.9293
length_200_8_26.pdb,4jre.cif.gz_D,0.7154
length_145_5_79.pdb,2vrw.cif.gz_B,0.6729
length_370_1_13.pdb,7osk.cif.gz_A,0.5856
length_145_9_70.pdb,5b85.cif.gz_A,0.9113
length_210_0_25.pdb,5v6p.cif.gz_B,0.482
length_240_0_84.pdb,4osp.cif.gz_D,0.498
length_200_0_56.pdb,4wh6.cif.gz_A,0.5901
length_210_7_36.pdb,4av3.cif.gz_B,0.6101
length_340_6_22.pdb,1jqo.cif.gz_B,0.6355
length_175_2_48.pdb,4qdi.cif.gz_A,0.6733
length_500_5_40.pdb,4av6.cif.gz_A,0.4917
length_475_9_70.pdb,6afv.cif.gz_B,0.5242
length_165_5_82.pdb,7pqa.cif.gz_BBB,0.5715
length_245_7_28.pdb,2wmg.cif.gz_A,0.7233
length_285_6_51.pdb,6qxa.cif.gz_B,0.5279
length_205_2_23.pdb,8acq.cif.gz_A,0.479
length_425_8_6.pdb,5vaq.cif.gz_A,0.4617
length_200_7_73.pdb,6s6z.cif.gz_A,0.5159
length_310_6_18.pdb,4a3y.cif.gz_A,0.5504
length_425_5_43.pdb,1wp9.cif.gz_F,0.4165
length_500_7_43.pdb,5ywd.cif.gz_B,0.4916
length_155_4_36.pdb,4xwg.cif.gz_A,0.6117
length_420_0_41.pdb,2wmj.cif.gz_A,0.5132
length_485_9_17.pdb,6tng.cif.gz_A,0.4281
length_220_8_1.pdb,7ajt.cif.gz_UT,0.6791
length_280_0_93.pdb,7mnd.cif.gz_A,0.8739
length_265_1_11.pdb,5g2d.cif.gz_A,0.8353
length_280_8_38.pdb,4o0t.cif.gz_A,0.8666
length_105_2_55.pdb,3obf.cif.gz_B,0.5305
length_460_5_100.pdb,6khi.cif.gz_B,0.3765
length_425_7_52.pdb,6qxa.cif.gz_B,0.4529
length_440_9_63.pdb,6tjv.cif.gz_F,0.4682
length_120_0_47.pdb,6yxy.cif.gz_BH,0.501
length_495_0_97.pdb,6jpf.cif.gz_B,0.3629
length_425_2_73.pdb,4gpn.cif.gz_B,0.5757
length_360_4_54.pdb,6kht.cif.gz_C,0.6324
length_175_7_84.pdb,3rhf.cif.gz_D,0.5387
length_295_8_2.pdb,6hxf.cif.gz_B,0.8679
length_310_8_52.pdb,2xhy.cif.gz_D,0.6698
length_105_1_38.pdb,7vwt.cif.gz_A,0.5639
length_485_8_39.pdb,7lj9.cif.gz_D,0.4128
length_300_7_100.pdb,8aul.cif.gz_A,0.5532
length_320_4_86.pdb,5gpj.cif.gz_B,0.5329
length_270_1_88.pdb,2y2w.cif.gz_C,0.6379
length_140_6_13.pdb,3cwz.cif.gz_B,0.5025
length_235_8_51.pdb,5k7v.cif.gz_A,0.6599
length_210_5_1.pdb,5dll.cif.gz_A,0.6537
length_310_3_79.pdb,4y7i.cif.gz_B,0.4434
length_110_2_61.pdb,6mg6.cif.gz_C,0.7117
length_345_1_36.pdb,6qxa.cif.gz_D,0.4951
length_185_1_3.pdb,3w9j.cif.gz_D,0.4923
length_370_4_9.pdb,8b80.cif.gz_B,0.6175
length_340_0_59.pdb,6zz5.cif.gz_BBB,0.4291
length_390_6_40.pdb,4hnv.cif.gz_A,0.5304
length_270_9_14.pdb,7qoz.cif.gz_H,0.5761
length_150_3_52.pdb,5dm3.cif.gz_E,0.5365
length_390_3_99.pdb,5yke.cif.gz_B,0.4368
length_250_3_64.pdb,6cai.cif.gz_B,0.7347
length_360_3_53.pdb,5nh4.cif.gz_B,0.483
length_500_8_45.pdb,8e73.cif.gz_5M,0.3603
length_355_9_42.pdb,3wl0.cif.gz_A,0.523
length_395_8_91.pdb,7pmo.cif.gz_G,0.5536
length_180_8_9.pdb,5hwy.cif.gz_A,0.4705
length_270_8_85.pdb,2zzk.cif.gz_A,0.5596
length_175_6_30.pdb,2wqa.cif.gz_F,0.9191
length_205_7_35.pdb,3tsc.cif.gz_C,0.6732
length_335_3_5.pdb,6iur.cif.gz_F,0.7041
length_315_5_99.pdb,3nd2.cif.gz_A,0.6916
length_335_4_90.pdb,2w67.cif.gz_B,0.5287
length_225_6_91.pdb,5xah.cif.gz_A,0.533
length_100_2_46.pdb,3k2j.cif.gz_B,0.8747
length_420_7_41.pdb,3hpx.cif.gz_A,0.4892
length_250_1_72.pdb,1u5j.cif.gz_A,0.5525
length_440_0_84.pdb,6lem.cif.gz_A,0.4656
length_470_6_12.pdb,6afy.cif.gz_B,0.5498
length_160_1_1.pdb,8et8.cif.gz_A,0.5928
length_400_7_74.pdb,4l61.cif.gz_A,0.4354
length_230_7_21.pdb,5gmr.cif.gz_D,0.5677
length_400_6_7.pdb,7rdr.cif.gz_A,0.4649
length_225_0_37.pdb,6jtd.cif.gz_A,0.5717
length_215_5_61.pdb,5wmt.cif.gz_C,0.4851
length_290_3_5.pdb,6bdn.cif.gz_A,0.8764
length_255_9_42.pdb,8auo.cif.gz_A,0.5867
length_325_3_3.pdb,3qlj.cif.gz_C,0.449
length_195_0_2.pdb,5jdp.cif.gz_MODEL_4_A,0.555
length_425_0_40.pdb,8f1e.cif.gz_A,0.6865
length_150_1_43.pdb,6y3l.cif.gz_MODEL_3_A,0.7144
length_220_2_100.pdb,3w3x.cif.gz_A,0.6318
length_160_6_75.pdb,6qp0.cif.gz_A,0.6241
length_365_8_80.pdb,6uij.cif.gz_A,0.5576
length_460_4_65.pdb,7sp5.cif.gz_B,0.5099
length_315_7_41.pdb,3uzz.cif.gz_A,0.7034
length_305_5_55.pdb,7rue.cif.gz_A,0.4655
length_335_6_48.pdb,7ung.cif.gz_BM,0.5201
length_185_6_74.pdb,3vvn.cif.gz_A,0.5479
length_275_6_22.pdb,5cxh.cif.gz_A,0.8991
length_315_2_35.pdb,6agz.cif.gz_A,0.6547
length_395_5_78.pdb,2xhy.cif.gz_A,0.5507
length_270_3_75.pdb,4n5a.cif.gz_A,0.6149
length_265_8_38.pdb,2amx.cif.gz_B,0.5096
length_300_5_89.pdb,2ivs.cif.gz_A,0.7875
length_500_0_20.pdb,5ywb.cif.gz_B,0.4392
length_430_0_17.pdb,4av6.cif.gz_A,0.433
length_245_0_19.pdb,4rup.cif.gz_A,0.7348
length_350_4_5.pdb,5cjv.cif.gz_B,0.474
length_295_3_74.pdb,6cip.cif.gz_E,0.404
length_195_1_13.pdb,6zp4.cif.gz_A,0.7782
length_325_0_14.pdb,6l21.cif.gz_A,0.8823
length_490_2_49.pdb,8gzu.cif.gz_N5,0.476
length_310_7_8.pdb,5yj7.cif.gz_B,0.7065
length_420_5_26.pdb,2zzk.cif.gz_A,0.4843
length_320_5_11.pdb,3kx6.cif.gz_D,0.6571
length_480_9_20.pdb,1gnx.cif.gz_A,0.4489
length_400_4_82.pdb,7f9o.cif.gz_Q,0.3927
length_305_8_67.pdb,4eum.cif.gz_A,0.4918
length_130_1_87.pdb,7akx.cif.gz_B,0.6517
length_360_7_80.pdb,5ixm.cif.gz_E,0.4135
length_225_8_55.pdb,4ry8.cif.gz_D,0.5404
length_320_2_26.pdb,3tjl.cif.gz_A,0.5032
length_360_1_66.pdb,7p6h.cif.gz_B,0.6317
length_320_7_52.pdb,1us2.cif.gz_A,0.6215
length_100_6_87.pdb,6ivl.cif.gz_C,0.7123
length_290_4_5.pdb,2dhh.cif.gz_B,0.455
length_330_4_85.pdb,6l21.cif.gz_A,0.7756
length_360_6_11.pdb,4u4t.cif.gz_A,0.411
length_210_6_59.pdb,4m88.cif.gz_A,0.6655
length_175_9_30.pdb,7zs9.cif.gz_4,0.7068
length_470_4_32.pdb,7mnn.cif.gz_B,0.4135
length_370_5_66.pdb,1v3h.cif.gz_A,0.5237
length_365_1_2.pdb,8b8q.cif.gz_A,0.3922
length_310_9_4.pdb,7lr7.cif.gz_A,0.5439
length_285_7_66.pdb,4aql.cif.gz_A,0.5592
length_185_5_54.pdb,6pqn.cif.gz_B,0.4909
length_115_2_1.pdb,7jtk.cif.gz_L,0.4703
length_345_3_100.pdb,4awe.cif.gz_A,0.6486
length_170_7_13.pdb,7qy3.cif.gz_C,0.7253
length_120_5_87.pdb,1e6k.cif.gz_A,0.8769
length_255_2_47.pdb,5exk.cif.gz_K,0.625
length_325_2_8.pdb,5nh4.cif.gz_B,0.6045
length_405_4_41.pdb,7eeb.cif.gz_L,0.5111
length_110_4_61.pdb,6lqx.cif.gz_B,0.8569
length_380_6_94.pdb,1qw9.cif.gz_A,0.5222
length_480_0_10.pdb,2vnc.cif.gz_B,0.4961
length_410_0_68.pdb,3w0l.cif.gz_D,0.4353
length_465_3_84.pdb,4av3.cif.gz_B,0.4306
length_125_3_57.pdb,5s9p.cif.gz_A,0.9748
length_235_3_24.pdb,7f8x.cif.gz_A,0.4385
length_160_5_47.pdb,4q6w.cif.gz_A,0.6396
length_110_6_25.pdb,6wv4.cif.gz_A,0.6403
length_180_9_93.pdb,3w9u.cif.gz_A,0.6781
length_270_5_99.pdb,7kzt.cif.gz_V,0.4881
length_250_0_1.pdb,1dik.cif.gz_A,0.648
length_180_1_80.pdb,2zyi.cif.gz_B,0.6029
length_135_9_57.pdb,6ztq.cif.gz_N,0.6807
length_495_8_88.pdb,4tpj.cif.gz_A,0.481
length_245_1_85.pdb,5vns.cif.gz_A,0.634
length_315_6_25.pdb,1qvb.cif.gz_B,0.5028
length_350_5_13.pdb,6lzl.cif.gz_A,0.4708
length_300_1_33.pdb,4eam.cif.gz_A,0.5767
length_105_9_27.pdb,3uw9.cif.gz_A,0.9492
length_495_2_67.pdb,6aft.cif.gz_B,0.4354
length_445_7_14.pdb,7w4o.cif.gz_B,0.4907
length_245_8_55.pdb,3no5.cif.gz_E,0.749
length_265_0_21.pdb,5vpq.cif.gz_B,0.8263
length_305_4_63.pdb,2wmk.cif.gz_A,0.6917
length_365_5_15.pdb,3w53.cif.gz_A,0.5959
length_290_8_89.pdb,7oi1.cif.gz_B,0.4875
length_210_9_6.pdb,6n8y.cif.gz_A,0.8867
length_385_2_71.pdb,4atl.cif.gz_A,0.46
length_105_4_71.pdb,4f9z.cif.gz_E,0.7854
length_430_6_67.pdb,5y50.cif.gz_A,0.4288
length_165_6_38.pdb,4k0j.cif.gz_D,0.6158
length_360_8_32.pdb,4faa.cif.gz_A,0.4395
length_105_8_87.pdb,7vu4.cif.gz_A,0.7977
length_455_2_14.pdb,5lzr.cif.gz_B,0.4822
length_380_7_21.pdb,5ul2.cif.gz_A,0.5287
length_300_0_39.pdb,6lf6.cif.gz_A,0.5494
length_330_3_71.pdb,8e9h.cif.gz_M,0.4899
length_260_4_84.pdb,5oge.cif.gz_D,0.451
length_415_6_1.pdb,2wze.cif.gz_B,0.5356
length_160_3_68.pdb,5in4.cif.gz_B,0.7454
length_195_2_10.pdb,3s29.cif.gz_A,0.656
length_270_0_76.pdb,6ybz.cif.gz_B,0.6936
length_220_1_77.pdb,1q7t.cif.gz_B,0.5862
length_240_7_24.pdb,3bnj.cif.gz_A,0.4583
length_165_8_98.pdb,6k8v.cif.gz_A,0.7848
length_395_4_78.pdb,7evh.cif.gz_A,0.4669
length_150_8_61.pdb,7oh2.cif.gz_B,0.5979
length_485_5_63.pdb,4iug.cif.gz_A,0.3931
length_120_1_13.pdb,1wde.cif.gz_A,0.5584
length_255_6_86.pdb,7rdr.cif.gz_A,0.6931
length_290_5_32.pdb,6krx.cif.gz_A,0.7742
length_150_0_67.pdb,4jc8.cif.gz_B,0.5607
length_105_3_6.pdb,1t98.cif.gz_B,0.7094
length_490_5_3.pdb,8oj9.cif.gz_A,0.3794
length_180_0_67.pdb,6zog.cif.gz_C,0.49
length_355_2_36.pdb,1v03.cif.gz_A,0.6554
length_265_2_54.pdb,1i9c.cif.gz_D,0.7204
length_110_9_37.pdb,6ffg.cif.gz_A,0.9888
length_205_6_56.pdb,5mlh.cif.gz_A,0.5736
length_165_4_29.pdb,3l39.cif.gz_A,0.5972
length_305_2_59.pdb,3a3k.cif.gz_B,0.5454
length_330_8_48.pdb,6agq.cif.gz_D,0.3936
length_165_2_37.pdb,6su7.cif.gz_C,0.7446
length_305_7_78.pdb,4d6e.cif.gz_A,0.691
length_350_3_29.pdb,7dvq.cif.gz_1,0.6323
length_160_7_67.pdb,3ebb.cif.gz_C,0.6518
length_150_4_85.pdb,1u80.cif.gz_C,0.6455
length_130_4_1.pdb,1oub.cif.gz_A,0.9918
length_190_6_96.pdb,2b2h.cif.gz_A,0.4749
length_260_0_21.pdb,2bb0.cif.gz_B,0.5959
length_420_3_11.pdb,1lsh.cif.gz_A,0.5255
length_460_0_1.pdb,5a6a.cif.gz_A,0.375
length_280_5_22.pdb,3icf.cif.gz_B,0.4211
length_355_8_56.pdb,4f06.cif.gz_A,0.5725
length_175_8_12.pdb,7lzh.cif.gz_D,0.6283
length_350_2_30.pdb,1rhc.cif.gz_A,0.4731
length_325_6_2.pdb,4d71.cif.gz_A,0.5945
length_155_3_7.pdb,6nuw.cif.gz_H,0.7237
length_295_4_3.pdb,4i8n.cif.gz_A,0.9499
length_420_8_1.pdb,2zb2.cif.gz_A,0.3892
length_395_7_25.pdb,2pbg.cif.gz_A,0.5521
length_460_6_38.pdb,6qxa.cif.gz_D,0.502
length_435_4_77.pdb,6gya.cif.gz_D,0.521
length_335_8_5.pdb,7z7s.cif.gz_L,0.4657
length_490_1_85.pdb,3air.cif.gz_A,0.4727
length_320_9_14.pdb,6u2t.cif.gz_C,0.6935
length_240_8_6.pdb,3fax.cif.gz_A,0.5623
length_215_6_64.pdb,3i3o.cif.gz_H,0.6216
length_190_3_95.pdb,4fkz.cif.gz_A,0.6951
length_310_5_95.pdb,5la4.cif.gz_A,0.5383
length_290_7_46.pdb,6hxf.cif.gz_C,0.8741
length_425_3_45.pdb,7l74.cif.gz_B,0.5542
length_455_0_72.pdb,1vbh.cif.gz_A,0.4107
length_265_7_10.pdb,4tmc.cif.gz_D,0.5753
length_115_5_80.pdb,4nr9.cif.gz_A,0.9499
length_400_9_56.pdb,7wag.cif.gz_A,0.5125
length_300_3_89.pdb,2ckf.cif.gz_E,0.3987
length_120_3_32.pdb,7bbp.cif.gz_DDD,0.7744
length_480_7_34.pdb,5ykf.cif.gz_B,0.3433
length_140_7_37.pdb,5cwl.cif.gz_B,0.8339
length_135_8_87.pdb,4zjp.cif.gz_A,0.6904
length_435_1_11.pdb,6qxa.cif.gz_D,0.4738
length_290_2_8.pdb,1ql6.cif.gz_A,0.846
length_395_2_16.pdb,6z6f.cif.gz_A,0.4812
length_225_3_72.pdb,6bcu.cif.gz_W,0.6608
length_190_5_33.pdb,5o0j.cif.gz_A,0.6465
length_255_0_17.pdb,1rh9.cif.gz_A,0.7386
length_285_3_85.pdb,2igt.cif.gz_C,0.4448
length_125_2_78.pdb,5s9p.cif.gz_A,0.987
length_295_5_45.pdb,7m1r.cif.gz_D,0.5469
length_210_4_67.pdb,7n7p.cif.gz_B,0.6068
length_435_0_49.pdb,1rh9.cif.gz_A,0.552
length_450_8_33.pdb,5y50.cif.gz_A,0.4828
length_240_5_99.pdb,4hes.cif.gz_A,0.4721
length_130_8_38.pdb,2oax.cif.gz_B,0.522
length_195_7_70.pdb,8jd0.cif.gz_3,0.6492
length_145_8_14.pdb,4twu.cif.gz_A,0.8214
length_130_3_14.pdb,1uqr.cif.gz_F,0.6818
length_110_1_88.pdb,6fff.cif.gz_A,0.9893
length_270_2_99.pdb,3o38.cif.gz_D,0.5501
length_365_3_83.pdb,2xfy.cif.gz_A,0.6648
length_215_3_34.pdb,7f8h.cif.gz_B,0.5014
length_135_0_6.pdb,5h7c.cif.gz_C,0.7082
length_205_1_20.pdb,3oet.cif.gz_H,0.6271
length_235_1_57.pdb,2g5w.cif.gz_A,0.683
length_330_7_8.pdb,6t8f.cif.gz_C,0.6713
length_445_2_45.pdb,3wfb.cif.gz_B,0.44
length_430_2_69.pdb,4lgl.cif.gz_B,0.4276
length_355_5_47.pdb,1t7l.cif.gz_B,0.4964
length_185_7_98.pdb,3lp5.cif.gz_A,0.7198
length_280_4_58.pdb,4xqk.cif.gz_B,0.5292
length_205_9_26.pdb,7zs9.cif.gz_4,0.537
length_150_6_38.pdb,7o71.cif.gz_2,0.6656
length_140_2_32.pdb,5h8z.cif.gz_A,0.5481
length_115_6_63.pdb,4nr9.cif.gz_A,0.9491
length_225_4_26.pdb,2zfn.cif.gz_A,0.4243
length_310_4_32.pdb,4av6.cif.gz_A,0.5484
length_155_1_100.pdb,3agb.cif.gz_B,0.4841
length_425_4_56.pdb,6wiu.cif.gz_P,0.5144
length_440_5_51.pdb,1a0c.cif.gz_A,0.5334
length_135_4_52.pdb,2f0l.cif.gz_A,0.986
length_245_2_72.pdb,3ijr.cif.gz_B,0.5931
length_105_0_95.pdb,5xmj.cif.gz_A,0.4897
length_315_0_59.pdb,3hpz.cif.gz_B,0.6308
length_460_3_82.pdb,6qxa.cif.gz_D,0.5686
length_160_2_52.pdb,3ql0.cif.gz_A,0.9433
length_315_9_24.pdb,7mbf.cif.gz_E,0.7286
length_375_2_9.pdb,1ado.cif.gz_A,0.4625
length_200_4_62.pdb,7u59.cif.gz_A,0.5049
length_400_1_66.pdb,7wds.cif.gz_A,0.4264
length_105_6_26.pdb,8fky.cif.gz_NA,0.7207
length_285_0_33.pdb,4bz7.cif.gz_C,0.5754
length_125_4_45.pdb,7rui.cif.gz_A,0.943
length_370_7_47.pdb,6qxa.cif.gz_A,0.5301
length_110_7_29.pdb,1sj8.cif.gz_A,0.8361
length_275_0_1.pdb,3f2a.cif.gz_A,0.9022
length_260_5_46.pdb,7o25.cif.gz_A,0.6912
length_320_0_94.pdb,4d6d.cif.gz_A,0.7012
length_120_7_92.pdb,3guc.cif.gz_B,0.7082
length_225_9_72.pdb,1t34.cif.gz_B,0.5723
length_335_1_64.pdb,6s7p.cif.gz_A,0.5482
length_260_9_83.pdb,6cz1.cif.gz_A,0.4657
length_275_2_31.pdb,3ika.cif.gz_A,0.9007
length_480_5_72.pdb,4lz9.cif.gz_A,0.3617
length_205_4_27.pdb,1sa0.cif.gz_A,0.641
length_415_9_75.pdb,4av3.cif.gz_A,0.4647
length_385_5_66.pdb,1sr9.cif.gz_B,0.5126
length_135_3_44.pdb,2ks6.cif.gz_MODEL_11_A,0.5386
length_245_5_64.pdb,8bh1.cif.gz_B,0.7878
length_250_8_37.pdb,8g3d.cif.gz_IM,0.5417
length_470_9_49.pdb,7wtd.cif.gz_A,0.4221
length_430_9_63.pdb,6u2t.cif.gz_B,0.4928
length_190_1_94.pdb,5w3f.cif.gz_B,0.6163
length_330_6_37.pdb,5gup.cif.gz_B,0.4437
length_280_2_72.pdb,3zu3.cif.gz_A,0.5299
length_380_8_22.pdb,1wdr.cif.gz_A,0.6014
length_135_2_78.pdb,2f0l.cif.gz_A,0.9837
length_175_4_9.pdb,4bz5.cif.gz_C,0.5435
length_385_8_53.pdb,5dt5.cif.gz_C,0.5935
length_200_5_92.pdb,8jd4.cif.gz_2,0.488
length_315_3_15.pdb,2pdl.cif.gz_A,0.6899
length_100_9_40.pdb,2lv8.cif.gz_MODEL_15_A,0.7844
length_155_2_27.pdb,1y8c.cif.gz_A,0.5345
length_145_6_78.pdb,5kkx.cif.gz_B,0.5975
length_275_7_4.pdb,6hxf.cif.gz_C,0.91
length_415_3_77.pdb,1veo.cif.gz_A,0.5767
length_435_2_81.pdb,5nh4.cif.gz_B,0.5251
length_150_9_5.pdb,4ohs.cif.gz_C,0.4375
length_375_8_26.pdb,1pbg.cif.gz_B,0.556
length_120_6_43.pdb,4d6x.cif.gz_D,0.859
length_180_7_7.pdb,2f9m.cif.gz_A,0.8212
length_495_6_93.pdb,6afw.cif.gz_B,0.4023
length_310_1_98.pdb,3tw6.cif.gz_D,0.4976
length_410_5_4.pdb,6afw.cif.gz_B,0.5381
length_125_6_67.pdb,8b5b.cif.gz_B,0.9424
length_185_0_76.pdb,6n91.cif.gz_A,0.6187
length_405_6_13.pdb,6v3o.cif.gz_D,0.5726
length_250_4_81.pdb,7ajt.cif.gz_UT,0.7126
length_490_9_79.pdb,7rdr.cif.gz_A,0.4592
length_465_7_8.pdb,4qlb.cif.gz_A,0.3708
length_285_1_83.pdb,5ume.cif.gz_D,0.517
length_480_2_45.pdb,5gpj.cif.gz_D,0.4834
length_410_6_43.pdb,7wag.cif.gz_A,0.524
length_425_9_73.pdb,5b3h.cif.gz_E,0.3948
length_305_1_65.pdb,7f3a.cif.gz_A,0.5141
length_125_1_74.pdb,5u73.cif.gz_A,0.6204
length_430_8_29.pdb,8oje.cif.gz_B,0.4415
length_125_7_38.pdb,5s9p.cif.gz_A,0.9777
length_245_4_29.pdb,6ziv.cif.gz_HHH,0.7695
length_340_8_44.pdb,3zkv.cif.gz_A,0.7256
length_410_9_72.pdb,3icj.cif.gz_A,0.4786
length_230_3_75.pdb,8f7a.cif.gz_A,0.5649
length_250_7_22.pdb,1rh9.cif.gz_A,0.763
length_110_3_71.pdb,3uw9.cif.gz_A,0.9231
length_205_3_26.pdb,7xzn.cif.gz_A,0.6127
length_365_7_64.pdb,1v02.cif.gz_E,0.5118
length_400_3_75.pdb,8bgw.cif.gz_A,0.5547
length_175_5_8.pdb,2f9m.cif.gz_A,0.8661
length_220_7_87.pdb,3lvs.cif.gz_A,0.5064
length_240_3_85.pdb,3e2r.cif.gz_A,0.568
length_395_1_9.pdb,7xex.cif.gz_A,0.4243
length_225_2_28.pdb,6yg8.cif.gz_C,0.4478
length_450_2_73.pdb,6s7p.cif.gz_A,0.5311
length_135_1_64.pdb,7fwq.cif.gz_A,0.9439
length_305_3_34.pdb,6hp2.cif.gz_A,0.5676
length_350_6_19.pdb,7uaa.cif.gz_E,0.4809
length_390_1_3.pdb,8ex6.cif.gz_A,0.4467
length_170_5_65.pdb,6wil.cif.gz_A,0.521
length_150_2_27.pdb,7l05.cif.gz_D,0.6561
length_250_9_68.pdb,1h5y.cif.gz_A,0.7346
length_375_0_43.pdb,6xrk.cif.gz_B,0.5291
length_235_0_29.pdb,5tjr.cif.gz_E,0.6128
length_495_3_91.pdb,4ha3.cif.gz_A,0.4921
length_480_8_89.pdb,5nh4.cif.gz_B,0.4791
length_305_9_36.pdb,4m3p.cif.gz_B,0.6791
length_145_4_4.pdb,4e1t.cif.gz_A,0.643
length_355_4_39.pdb,3ais.cif.gz_A,0.5415
length_230_9_88.pdb,3s55.cif.gz_F,0.5142
length_445_5_25.pdb,4ha3.cif.gz_A,0.4216
length_230_4_35.pdb,2cw6.cif.gz_D,0.583
length_170_0_33.pdb,7y4a.cif.gz_G,0.9072
length_370_2_14.pdb,7zk6.cif.gz_A,0.5099
length_110_8_38.pdb,2vyy.cif.gz_A,0.919
length_215_9_43.pdb,5k0g.cif.gz_B,0.8928
length_455_5_42.pdb,5gpj.cif.gz_C,0.512
length_160_8_62.pdb,8jcz.cif.gz_2,0.4805
length_165_7_25.pdb,7ppo.cif.gz_C,0.6042
length_295_1_92.pdb,4q3r.cif.gz_A,0.5046
length_285_5_67.pdb,7poz.cif.gz_A,0.5627
length_235_4_16.pdb,8d9w.cif.gz_O,0.5426
length_490_7_75.pdb,1xr2.cif.gz_A,0.4162
length_400_2_79.pdb,5k1r.cif.gz_A,0.4455
length_345_5_30.pdb,7qef.cif.gz_B,0.471
length_205_0_84.pdb,6oqh.cif.gz_MODEL_10_A,0.4837
length_225_7_39.pdb,6lm0.cif.gz_B,0.7631
length_255_7_31.pdb,3rmj.cif.gz_A,0.7478
length_280_6_1.pdb,6lod.cif.gz_F,0.4727
length_165_0_55.pdb,4xvh.cif.gz_A,0.6204
length_420_1_74.pdb,7rdr.cif.gz_A,0.4554
length_330_5_49.pdb,6z1c.cif.gz_A,0.8472
length_260_1_29.pdb,3gqb.cif.gz_A,0.5157
length_500_6_71.pdb,7l74.cif.gz_B,0.4805
length_215_2_68.pdb,7z80.cif.gz_N,0.5202
length_370_9_38.pdb,1e6n.cif.gz_B,0.4363
length_190_7_99.pdb,1zyz.cif.gz_A,0.5344
length_380_2_74.pdb,6afu.cif.gz_B,0.4496
length_175_0_50.pdb,5cwl.cif.gz_B,0.7212
length_265_5_57.pdb,5dr2.cif.gz_A,0.9297
length_380_0_100.pdb,1a0d.cif.gz_A,0.591
length_135_7_2.pdb,4k8j.cif.gz_A,0.9846
length_460_1_2.pdb,6afu.cif.gz_B,0.479
length_340_7_50.pdb,3zrm.cif.gz_A,0.6808
length_350_0_30.pdb,4ewq.cif.gz_A,0.9248
length_105_5_81.pdb,4lo6.cif.gz_B,0.7608
length_370_8_16.pdb,5lu4.cif.gz_B,0.5407
length_195_6_39.pdb,6qtb.cif.gz_D,0.6533
length_140_3_8.pdb,2ypl.cif.gz_A,0.4719
length_125_8_81.pdb,5s9p.cif.gz_A,0.9855
